clusters,silhouette_score
2,0.008992167505440313
3,0.010714772327541386
4,0.012884060733240462
5,0.01491014913865045
6,0.017648538981299176
7,0.01653932735225586
8,0.018390121711236995
9,0.019449250992129585
10,0.021059923993461845
15,0.02718551170977856
20,0.029813190499274105
25,0.03481801077201856
30,0.03595031146870681
35,0.038703916568511444
40,0.040524274413216474
45,0.042514056480707996
50,0.04037257604637501
60,0.046779639963257874
70,0.04393840178440039
80,0.0556698283554768
90,0.04011497225284111
100,0.04365830977536376
150,0.055601859342937855
200,0.06873782325439556
250,0.06958713367149176
300,0.0720275117797226
350,0.07683311649092803
400,0.08004937359544571
450,0.08361757104752673
500,0.08453439786820602
600,0.09565998826555537
700,0.09362796795124088
800,0.10017053635574784
900,0.10510279851703196
1000,0.1106347875130116
1250,0.12226007033057007
1500,0.1340988690298783
1750,0.14553002396844855
2000,0.15066988360752076
