components,silhouette_score,sse
1,0.5883629623190788,1.0617784932271694e-05
5,0.2298867108097205,0.5116560131486226
10,0.21386473938741515,3.854702758790783
15,0.21654693165560626,9.548510541774831
20,0.22309366197360656,17.916713526789948
25,0.24373015155415592,28.960155847868656
30,0.24671130485041098,43.476400297754665
35,0.2533755314802525,60.075317586439745
40,0.2570797202150845,82.00819314093731
45,0.2699601049847557,104.83818232512255
50,0.27253132219015874,132.03109787754798
55,0.2766154251909707,154.43774573683254
60,0.273103740096413,185.30908684612263
65,0.26677015141826077,218.40081722174767
70,0.26897907101598123,251.85454396512588
75,0.27077234965052444,287.76792824332335
80,0.2653264249148792,322.2218941035509
85,0.2643676090188379,359.22046607124526
90,0.26359933848430706,396.72831279374316
95,0.2670813395895269,438.5477475550422
100,0.26143101642343913,478.659645191469
105,0.25271447284614473,518.1642018421395
110,0.24242154706790603,561.0721584138878
115,0.2411118692323169,600.8336291730806
120,0.24413695237768893,647.9885914469148
