
components,silhouette_score,sse
1,0.5686863813419198,0.00012118509126462354
5,0.21180348061777526,1.136126423336375
10,0.20201195776128264,8.309479716047566
15,0.21291269368180107,22.12861015936562
20,0.22098769501834467,42.979023012439754
25,0.23800401718786957,70.40120406686195
30,0.2494002234536001,105.14354149392928
35,0.250236642382298,144.47820953211587
40,0.23701211715837697,188.66972923983172
45,0.26301738095877775,238.99500137192638
50,0.25398501508494997,286.14964461038414
55,0.21986693771594668,337.0834891525145
60,0.24111961385820396,384.1319922326427
65,0.23985398205850947,434.0665933834275
70,0.24610071279698284,490.2551334823621
75,0.23956238674889183,554.4252637453222
80,0.23101919724315712,610.719931805872
85,0.24649441065855376,664.7609891994351
90,0.2326228666908175,726.8186937705702
95,0.22138733620849851,779.9321155421028
100,0.22449242962633426,835.4016518042151
105,0.22768351037929202,893.3127201800089
110,0.2218930409754099,948.5247227623936
115,0.21908752516133628,1003.9992284454769
120,0.20842679882412074,1058.1452554055736
